fname,label
00063640.wav,Shatter Keys_jangling Scissors
0013a1db.wav,Flute Violin_or_fiddle Trumpet
002bb878.wav,Bass_drum Knock Computer_keyboard
002d392d.wav,Bass_drum Snare_drum Double_bass
00326aa9.wav,Oboe Electric_piano Clarinet
0038a046.wav,Knock Bass_drum Microwave_oven
003995fa.wav,Squeak Shatter Clarinet
005ae625.wav,Electric_piano Gong Acoustic_guitar
007759c4.wav,Flute Clarinet Saxophone
008afd93.wav,Saxophone Clarinet Flute
00a161c0.wav,Cello Acoustic_guitar Electric_piano
00a7a2f6.wav,Clarinet Cough Drawer_open_or_close
00ae03f6.wav,Chime Fireworks Keys_jangling
00b2404e.wav,Cello Double_bass Violin_or_fiddle
00beb030.wav,Clarinet Gong Cello
00c4d5b8.wav,Acoustic_guitar Cello Gong
00c92c05.wav,Acoustic_guitar Gong Glockenspiel
00ccf065.wav,Bass_drum Finger_snapping Burping_or_eructation
00d0ab77.wav,Clarinet Oboe Cello
00dffe3a.wav,Bass_drum Finger_snapping Snare_drum
00e33205.wav,Clarinet Flute Oboe
00e7ed07.wav,Flute Saxophone Clarinet
00eac343.wav,Electric_piano Glockenspiel Bass_drum
00f2f692.wav,Hi-hat Glockenspiel Clarinet
0102a895.wav,Cello Acoustic_guitar Double_bass
010a0b3a.wav,Shatter Keys_jangling Tambourine
010eed01.wav,Trumpet Finger_snapping Fart
01115622.wav,Shatter Snare_drum Tambourine
01198b7e.wav,Clarinet Electric_piano Oboe
01207ce5.wav,Hi-hat Tearing Snare_drum
0137bfba.wav,Cough Laughter Snare_drum
014eb52e.wav,Flute Clarinet Trumpet
01608fa3.wav,Bass_drum Double_bass Finger_snapping
0169348e.wav,Clarinet Trumpet Bus
016e52da.wav,Flute Clarinet Violin_or_fiddle
0183b482.wav,Acoustic_guitar Electric_piano Gong
0185de6b.wav,Acoustic_guitar Electric_piano Double_bass
01a5a2a3.wav,Bark Gong Violin_or_fiddle
01aed32a.wav,Acoustic_guitar Gong Electric_piano
01afccc5.wav,Acoustic_guitar Cowbell Flute
01b4cdb5.wav,Acoustic_guitar Tambourine Electric_piano
01b85217.wav,Clarinet Telephone Electric_piano
01bb344f.wav,Acoustic_guitar Electric_piano Cello
01bede12.wav,Trumpet Glockenspiel Clarinet
01c9d6d3.wav,Clarinet Flute Trumpet
01e628cb.wav,Clarinet Acoustic_guitar Electric_piano
01e6e112.wav,Laughter Cough Squeak
01e99e2d.wav,Cello Violin_or_fiddle Oboe
01eccb6e.wav,Clarinet Cough Flute
01f27f99.wav,Squeak Drawer_open_or_close Microwave_oven
01f29edb.wav,Flute Clarinet Glockenspiel
01f9883e.wav,Laughter Cough Acoustic_guitar
01fd22ba.wav,Bass_drum Finger_snapping Snare_drum
01fe4a01.wav,Bus Squeak Tearing
02107093.wav,Electric_piano Bass_drum Knock
02182ebd.wav,Hi-hat Finger_snapping Snare_drum
02198549.wav,Scissors Keys_jangling Computer_keyboard
0220d48a.wav,Bass_drum Knock Double_bass
02210ee7.wav,Flute Trumpet Electric_piano
022170df.wav,Clarinet Glockenspiel Gong
023431b2.wav,Trumpet Harmonica Hi-hat
023e7db3.wav,Flute Saxophone Clarinet
023eab1f.wav,Double_bass Scissors Acoustic_guitar
02482fdc.wav,Acoustic_guitar Electric_piano Gong
024e45b1.wav,Cello Double_bass Acoustic_guitar
026820e6.wav,Burping_or_eructation Cough Writing
02697329.wav,Bass_drum Microwave_oven Finger_snapping
027a8b14.wav,Hi-hat Finger_snapping Snare_drum
027dbe3e.wav,Bass_drum Electric_piano Double_bass
027f06cc.wav,Squeak Laughter Hi-hat
028278f0.wav,Trumpet Meow Oboe
028db587.wav,Double_bass Knock Cello
02960f07.wav,Scissors Drawer_open_or_close Keys_jangling
0298b2c6.wav,Flute Clarinet Saxophone
02a0eb3c.wav,Fireworks Bus Fart
02ad476f.wav,Squeak Fireworks Shatter
02af55f6.wav,Acoustic_guitar Electric_piano Gong
02c3af87.wav,Trumpet Electric_piano Oboe
02c46d0b.wav,Acoustic_guitar Cello Electric_piano
02c6f112.wav,Cello Violin_or_fiddle Double_bass
02cb4d01.wav,Double_bass Electric_piano Knock
02d5dc55.wav,Bass_drum Snare_drum Knock
02d9b93c.wav,Flute Saxophone Clarinet
02df943b.wav,Bass_drum Knock Double_bass
02e99b5e.wav,Cello Saxophone Double_bass
02f8d82c.wav,Trumpet Hi-hat Glockenspiel
02fb6c5b.wav,Knock Bass_drum Snare_drum
0300b76b.wav,Laughter Squeak Electric_piano
0303e3a5.wav,Bass_drum Snare_drum Acoustic_guitar
03079bb2.wav,Scissors Computer_keyboard Microwave_oven
030bacc6.wav,Drawer_open_or_close Microwave_oven Cough
030db750.wav,Telephone Chime Microwave_oven
0310089a.wav,Flute Cowbell Microwave_oven
0316ff65.wav,Bass_drum Snare_drum Finger_snapping
03199dbe.wav,Cello Double_bass Saxophone
031b6d8f.wav,Flute Clarinet Trumpet
03319789.wav,Violin_or_fiddle Cowbell Meow
033a0cbe.wav,Bass_drum Double_bass Knock
0345130c.wav,Trumpet Applause Clarinet
034b1b41.wav,Flute Clarinet Violin_or_fiddle
034c1c69.wav,Flute Clarinet Saxophone
035e420f.wav,Hi-hat Finger_snapping Cowbell
036c1697.wav,Acoustic_guitar Computer_keyboard Scissors
036f228c.wav,Clarinet Electric_piano Glockenspiel
03786473.wav,Clarinet Bus Saxophone
037e7b6f.wav,Flute Clarinet Oboe
0381efd3.wav,Double_bass Cello Bus
038397e9.wav,Bass_drum Keys_jangling Tambourine
03858091.wav,Bass_drum Knock Snare_drum
03888259.wav,Acoustic_guitar Cello Electric_piano
0394e0d4.wav,Hi-hat Chime Gong
03953467.wav,Flute Saxophone Clarinet
039d36e9.wav,Cello Violin_or_fiddle Gong
03ab8828.wav,Gunshot_or_gunfire Fireworks Knock
03af84e5.wav,Clarinet Violin_or_fiddle Oboe
03b7faf1.wav,Telephone Squeak Microwave_oven
03c1c5f4.wav,Flute Clarinet Glockenspiel
03c5bfbb.wav,Gunshot_or_gunfire Knock Drawer_open_or_close
03d2bdca.wav,Clarinet Saxophone Cough
03d5a89c.wav,Clarinet Cough Saxophone
03e1e393.wav,Chime Gong Acoustic_guitar
03e2ecd9.wav,Acoustic_guitar Electric_piano Cello
03e860b2.wav,Trumpet Applause Hi-hat
03f2e21f.wav,Cello Violin_or_fiddle Bus
03f39877.wav,Hi-hat Finger_snapping Snare_drum
03fafd5b.wav,Double_bass Electric_piano Acoustic_guitar
03fccc98.wav,Bass_drum Finger_snapping Knock
0402129f.wav,Drawer_open_or_close Snare_drum Squeak
040258a9.wav,Cello Double_bass Violin_or_fiddle
041521b0.wav,Bass_drum Snare_drum Finger_snapping
04154da3.wav,Bass_drum Finger_snapping Microwave_oven
0419676b.wav,Clarinet Electric_piano Gong
041983cd.wav,Acoustic_guitar Electric_piano Gong
04199401.wav,Fart Tearing Bus
041c68ec.wav,Cello Violin_or_fiddle Harmonica
041c7581.wav,Cello Double_bass Violin_or_fiddle
041eed83.wav,Drawer_open_or_close Microwave_oven Squeak
0422b811.wav,Burping_or_eructation Finger_snapping Cough
0448c553.wav,Bass_drum Finger_snapping Snare_drum
0448d513.wav,Cello Double_bass Violin_or_fiddle
044aef8a.wav,Squeak Scissors Finger_snapping
045931e0.wav,Bark Telephone Meow
0459ee65.wav,Clarinet Oboe Cello
045c6122.wav,Bass_drum Applause Snare_drum
045c9ea8.wav,Clarinet Glockenspiel Oboe
04605af5.wav,Shatter Hi-hat Finger_snapping
046250d3.wav,Cello Double_bass Acoustic_guitar
046486df.wav,Computer_keyboard Squeak Keys_jangling
0468ad68.wav,Flute Clarinet Oboe
046e86b5.wav,Hi-hat Gong Finger_snapping
047b5857.wav,Cello Double_bass Violin_or_fiddle
047bf19c.wav,Flute Clarinet Glockenspiel
047e0d21.wav,Trumpet Tearing Hi-hat
048470a5.wav,Squeak Laughter Tearing
04a301e9.wav,Trumpet Hi-hat Electric_piano
04ab46a9.wav,Cello Double_bass Acoustic_guitar
04ab4e22.wav,Tambourine Hi-hat Keys_jangling
04b031df.wav,Hi-hat Finger_snapping Snare_drum
04b249bd.wav,Drawer_open_or_close Squeak Tearing
04b7ef77.wav,Flute Clarinet Oboe
04bdae57.wav,Hi-hat Gong Acoustic_guitar
04c2ed9c.wav,Clarinet Saxophone Cello
04d15abd.wav,Trumpet Glockenspiel Microwave_oven
04dbef05.wav,Cello Double_bass Electric_piano
04dddbf5.wav,Bass_drum Finger_snapping Snare_drum
04ecda67.wav,Bass_drum Hi-hat Snare_drum
04ed8568.wav,Bass_drum Knock Double_bass
04f232c6.wav,Bass_drum Gunshot_or_gunfire Knock
04f46a27.wav,Bass_drum Finger_snapping Burping_or_eructation
04f85a49.wav,Acoustic_guitar Electric_piano Cello
04fb8280.wav,Acoustic_guitar Electric_piano Gong
0509ce2f.wav,Hi-hat Harmonica Chime
0520faf4.wav,Clarinet Applause Fireworks
05296d2a.wav,Clarinet Bark Oboe
0529d428.wav,Bass_drum Snare_drum Knock
0539bb41.wav,Cello Fart Chime
053a5fc6.wav,Hi-hat Harmonica Gong
053b4c56.wav,Fart Tearing Squeak
053e7bb5.wav,Snare_drum Hi-hat Knock
054508f3.wav,Bass_drum Snare_drum Hi-hat
0548124b.wav,Saxophone Bass_drum Double_bass
054dbf39.wav,Clarinet Flute Violin_or_fiddle
054eeab6.wav,Bark Cough Writing
05562991.wav,Flute Clarinet Glockenspiel
0558af35.wav,Meow Squeak Clarinet
0568741b.wav,Acoustic_guitar Glockenspiel Electric_piano
05723b3a.wav,Cello Double_bass Saxophone
057425e6.wav,Fart Cough Snare_drum
0576d7ba.wav,Fart Finger_snapping Keys_jangling
057c2963.wav,Clarinet Saxophone Oboe
0586f0e0.wav,Meow Trumpet Squeak
058a0e87.wav,Bass_drum Finger_snapping Telephone
058e63ea.wav,Tambourine Glockenspiel Scissors
0594d8c2.wav,Hi-hat Chime Gong
059d5420.wav,Saxophone Clarinet Electric_piano
059ffef4.wav,Trumpet Clarinet Violin_or_fiddle
05a15a14.wav,Clarinet Flute Cello
05ad10fb.wav,Trumpet Cello Flute
05ae0583.wav,Trumpet Finger_snapping Shatter
05c2056b.wav,Flute Clarinet Glockenspiel
05c8453f.wav,Fireworks Gunshot_or_gunfire Bus
05cae96f.wav,Snare_drum Bass_drum Hi-hat
05cc88d2.wav,Hi-hat Snare_drum Gunshot_or_gunfire
05ccb0ff.wav,Acoustic_guitar Cello Microwave_oven
05f3c709.wav,Laughter Cough Applause
05f40290.wav,Cello Double_bass Microwave_oven
05fc58ee.wav,Gunshot_or_gunfire Bass_drum Snare_drum
05fca090.wav,Flute Saxophone Cello
060428bd.wav,Acoustic_guitar Electric_piano Double_bass
0608d8b7.wav,Squeak Fireworks Saxophone
06123abf.wav,Acoustic_guitar Gong Chime
062c3119.wav,Clarinet Acoustic_guitar Cello
062f9f91.wav,Squeak Drawer_open_or_close Microwave_oven
06308a6b.wav,Cello Saxophone Double_bass
0630cf5e.wav,Electric_piano Acoustic_guitar Double_bass
0638da1a.wav,Snare_drum Cowbell Hi-hat
063d81f8.wav,Clarinet Trumpet Microwave_oven
06718b47.wav,Trumpet Clarinet Applause
0671a98a.wav,Trumpet Oboe Saxophone
06775f3c.wav,Laughter Cough Meow
0678a571.wav,Trumpet Hi-hat Oboe
067d6a04.wav,Flute Clarinet Trumpet
06827666.wav,Acoustic_guitar Electric_piano Chime
0682b1f6.wav,Harmonica Telephone Bass_drum
0689d2f6.wav,Bass_drum Snare_drum Finger_snapping
069b1efa.wav,Flute Cello Saxophone
069b4384.wav,Bass_drum Finger_snapping Tearing
069e4fb3.wav,Squeak Bus Fireworks
06b27161.wav,Squeak Meow Drawer_open_or_close
06bb374e.wav,Fart Acoustic_guitar Scissors
06bd2694.wav,Bass_drum Gunshot_or_gunfire Snare_drum
06c33b21.wav,Laughter Flute Bark
