fname,label
00063640.wav,Trumpet Shatter Computer_keyboard
0013a1db.wav,Flute Trumpet Clarinet
002bb878.wav,Bass_drum Knock Squeak
002d392d.wav,Bass_drum Snare_drum Double_bass
00326aa9.wav,Oboe Clarinet Gong
0038a046.wav,Bass_drum Knock Shatter
003995fa.wav,Squeak Saxophone Shatter
005ae625.wav,Acoustic_guitar Gong Electric_piano
007759c4.wav,Flute Clarinet Saxophone
008afd93.wav,Saxophone Clarinet Flute
00a161c0.wav,Cello Acoustic_guitar Double_bass
00a7a2f6.wav,Clarinet Writing Tearing
00ae03f6.wav,Chime Applause Keys_jangling
00b2404e.wav,Cello Double_bass Violin_or_fiddle
00beb030.wav,Clarinet Oboe Cello
00c4d5b8.wav,Acoustic_guitar Hi-hat Cello
00c92c05.wav,Acoustic_guitar Gong Clarinet
00ccf065.wav,Bass_drum Burping_or_eructation Squeak
00d0ab77.wav,Clarinet Oboe Cello
00dffe3a.wav,Bass_drum Double_bass Cowbell
00e33205.wav,Clarinet Flute Oboe
00e7ed07.wav,Flute Clarinet Saxophone
00eac343.wav,Electric_piano Bass_drum Oboe
00f2f692.wav,Hi-hat Violin_or_fiddle Clarinet
0102a895.wav,Cello Double_bass Acoustic_guitar
010a0b3a.wav,Keys_jangling Shatter Tambourine
010eed01.wav,Trumpet Fart Hi-hat
01115622.wav,Shatter Tambourine Snare_drum
01198b7e.wav,Clarinet Violin_or_fiddle Electric_piano
01207ce5.wav,Hi-hat Tearing Snare_drum
0137bfba.wav,Cough Laughter Snare_drum
014eb52e.wav,Flute Snare_drum Trumpet
01608fa3.wav,Bass_drum Double_bass Cowbell
0169348e.wav,Clarinet Saxophone Trumpet
016e52da.wav,Flute Violin_or_fiddle Clarinet
0183b482.wav,Acoustic_guitar Gong Electric_piano
0185de6b.wav,Acoustic_guitar Electric_piano Cello
01a5a2a3.wav,Bark Violin_or_fiddle Gong
01aed32a.wav,Acoustic_guitar Gong Electric_piano
01afccc5.wav,Acoustic_guitar Cowbell Snare_drum
01b4cdb5.wav,Acoustic_guitar Tambourine Electric_piano
01b85217.wav,Clarinet Gong Oboe
01bb344f.wav,Acoustic_guitar Violin_or_fiddle Hi-hat
01bede12.wav,Trumpet Fireworks Applause
01c9d6d3.wav,Clarinet Flute Trumpet
01e628cb.wav,Clarinet Acoustic_guitar Cello
01e6e112.wav,Squeak Laughter Tearing
01e99e2d.wav,Cello Violin_or_fiddle Oboe
01eccb6e.wav,Clarinet Cello Squeak
01f27f99.wav,Squeak Fireworks Shatter
01f29edb.wav,Flute Clarinet Violin_or_fiddle
01f9883e.wav,Cough Laughter Acoustic_guitar
